metric_name,count,llm_action,target_field_key,suggested_field_key,suggested_aliases,suggested_required_any,name_cn,category,value_type,confidence,llm_reason,example_reports
海外地区,8,keep_unknown,,,[],[],,,,0.95,该指标‘海外地区’描述员工地理分布（如海外员工人数或占比），属于公司经营分析或人力资源细分维度，非ESG实质性议题的跨行业通用核心指标；Core ESG Schema中已有total_employees、female_employees等基础人口统计字段，但未对地域维度作标准化要求，且无任何现有field_key的aliases或语义覆盖该概念；其单位混用‘人’和‘%’也表明定义不统一，适合作为公司特色指标保留在行业或企业级披露层面，不宜纳入通用Core。,010_002913_奥士康_2025_奥士康：社会责任报告
按年龄划分,7,keep_unknown,,,[],[],,,,0.95,"指标名称'按年龄划分'是表格分组标题而非具体ESG指标，未明确指向任一标准化年龄分段字段（如employees_under_30、employees_30_to_50、employees_over_50）；其本身不具备可量化语义，且evidence_text中呈现为汇总性标题行，数据格式异常（如'34,10'疑似分隔错误），无法可靠映射到Core中的任一现有field_key；该表述属于报告排版结构标签，不属于ESG实质性指标，应保持unknown。",001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
本科,7,industry_schema_candidate,,,[],[],,,,0.85,员工学历结构（如本科、硕士、博士人数）属于人力资源结构的细分维度，虽具一定社会（S）相关性，但披露动因高度依赖行业属性（如IT、金融、教育等行业更强调高学历人才占比），且缺乏跨行业统一口径（如‘本科’是否含专升本、是否区分全日制/非全日制等），未被主流ESG框架（如GRI、SASB、TCFD）列为通用核心指标；Core ESG Schema已覆盖员工总数、性别、年龄、管理层比例等基础人口统计维度，学历结构宜作为行业补充指标（如TMT行业人力资本质量子模块），不宜纳入通用Core。,006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
柴油,6,new_core_candidate,,diesel_consumption,[],[],柴油消耗量,E,number,0.94,柴油是工业、运输、建筑、制造等多行业广泛使用的化石能源，其消耗量具有跨行业通用性、可量化、环境影响显著（碳排放与空气污染物），且当前 Core Schema 已覆盖煤炭、天然气、电力、可再生能源等主要能源类型，唯缺柴油这一关键移动源/备用电源燃料；补充后可完善能源结构披露完整性，支持范围一排放核算。单位升/吨均为标准计量单位，符合 Core 指标要求。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 003_002083_孚日股份_2025_孚日股份：社会责任报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
客户投诉解决率,6,keep_unknown,,,[],[],,,,0.92,客户投诉解决率属于服务质量与运营绩效类指标，反映内部流程效率而非实质性ESG议题；Core ESG Schema中已包含基础输入型指标'客户投诉数量'（customer_complaints），而解决率依赖于企业内部定义（如时效、闭环标准）、计算口径不统一，且缺乏跨行业强制披露共识；其本质是管理效能衍生指标，不符合高频、可比、实质性、跨行业通用的Core指标准入原则。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告
女性董事占比,6,new_core_candidate,,female_director_ratio,[],[],女性董事比例,G,percentage,0.95,该指标在6份ESG报告中高频出现，单位统一为%，语义明确为女性董事人数占董事会总人数的比例；Core Schema中已有female_directors（人数）、female_management_ratio（管理层比例）、female_employee_ratio（员工比例），但缺失治理层关键性别多样性指标female_director_ratio；其跨行业通用性强（覆盖矿业、纺织、IT、建筑设计等不同行业），符合G类治理指标核心性、可量化、ESG相关性高原则，且填补现有Schema空白。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 003_002083_孚日股份_2025_孚日股份：社会责任报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告
员工培训参与人次,6,add_alias_to_existing_core,trained_employees_count,,"[""员工培训参与人次""]","[""员工培训参与人次""]",,,,0.98,该指标名称与 trained_employees_count 的现有中文名'受训员工人数或人次'及别名'培训总人次''受训员工人次'高度一致，单位均为'人次'，语义、维度（S类）、指标类型（quantitative）和值类型（number）完全匹配，属于同义表达，应作为别名加入。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告
纳税总额,6,keep_unknown,,,[],[],,,,0.95,纳税总额属于典型的经营绩效/财务指标，反映企业经济贡献而非ESG实质性议题；Core ESG Schema明确原则指出营业收入、净利润、资产总额、纳税总额等应keep_unknown；所有示例均出现在‘经济绩效’或‘关键绩效表’等非ESG核心主题章节中，且top_reasons全部标注为business_performance_not_core_esg。,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
其他,6,keep_unknown,,,[],[],,,,0.95,指标名称为'其他'，无明确ESG语义，单位混用（吨、人），上下文显示其为分类统计中的残余项（如学历、年龄划分下的'其他'类别）或来源不明的宽泛归类（如水资源来源中的'其他'），不具备跨行业通用性、可量化定义不清晰、无法稳定映射至任何Core ESG字段，属于数据填报中的兜底模糊项，不符合Core指标高频、明确、标准化的要求。,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 010_002913_奥士康_2025_奥士康：社会责任报告
<30岁,5,add_alias_to_existing_core,employees_under_30,,"[""<30岁""]","[""<30岁""]",,,,0.98,<30岁 是 '30岁以下员工人数' 的标准简写形式，与 employees_under_30 的现有别名 '30岁以下'、'30岁以下（不含30岁）' 语义完全一致，单位为'人'，数值类型为整数型，符合 value_type: number。多份报告中在'员工数据'表格下直接以'<30岁'为表头列，与 Core 字段定义高度匹配。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
人均带薪休假天数,5,keep_unknown,,,[],[],,,,0.95,人均带薪休假天数属于企业人力资源福利政策的具体执行细节，虽与员工福祉相关，但并非ESG国际主流框架（如GRI、SASB、TCFD、ISSB）强制或高频披露的核心社会类指标；Core ESG Schema中已覆盖员工总数、性别结构、年龄结构、培训、健康档案、工伤、社保等更具可比性、可量化、跨行业共识度高的S类指标，而休假天数受国家法定标准、企业制度、岗位性质影响极大，缺乏统一基准和可比性，易导致披露失真；该指标更适合作为公司特色HR管理指标，而非通用ESG核心指标。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 012_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告
汽油,5,add_alias_to_existing_core,energy_consumption_total,,"[""汽油消耗量"", ""汽油""]","[""汽油消耗量""]",,,,0.95,汽油是常见化石能源，其消耗量属于能源消耗总量的组成部分；Core Schema 中 energy_consumption_total 的 aliases 已包含‘综合能耗’‘总能源消耗’等上位概念，且单位‘升’符合液体燃料计量惯例；汽油消耗在运输、制造、物业等多行业普遍存在，不宜单列新核心指标，而应作为 energy_consumption_total 的具体燃料类型别名纳入，保持体系简洁性与可扩展性。,003_002083_孚日股份_2025_孚日股份：社会责任报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
硕士,5,industry_schema_candidate,,,[],[],,,,0.95,硕士人数属于员工学历结构细分指标，反映人才梯队或研发能力支撑，但其披露动机高度依赖行业属性（如科技、金融、教育等行业更关注，而制造、基建等可能弱相关）；Core ESG Schema 已覆盖员工总数、年龄、性别、管理层比例、研发人员数量等基础人口统计与能力维度，学历层级（硕士/本科/大专等）缺乏跨行业强制可比性、标准化计量口径（如是否含在读、是否含兼职、是否含劳务派遣等），且未被主流国际框架（GRI、SASB、ISSB）列为通用核心指标，更适合纳入行业定制化ESG指标体系（如TMT行业人才结构模块）。,006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
温室气体排放密度,5,add_alias_to_existing_core,ghg_emissions_intensity,,"[""温室气体排放密度""]","[""温室气体排放密度""]",,,,0.98,‘温室气体排放密度’与‘温室气体排放强度’语义完全一致，单位‘吨二氧化碳当量/百万元营收’和‘吨二氧化碳当量/万元营收’均符合ghg_emissions_intensity的强度类单位特征（如吨CO2e/万元），且其aliases中已明确包含‘单位收入碳排放’，该表述在物理含义、量纲和披露实践上均与现有核心指标完全等价。,009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告
纸张,5,industry_schema_candidate,,,[],[],,,,0.95,纸张消耗属于办公耗材类运营指标，虽具一定环境相关性（如关联森林资源、废弃物），但未被主流ESG框架（如GRI、SASB、TCFD）列为跨行业通用核心指标；其披露频次低（仅2家报告提及）、单位单一（吨）、语境均位于'废弃物处置'表中，实质反映的是废纸产生量而非消耗量；更适合作为办公服务类或轻资产行业（如设计、证券）的行业补充指标，而非通用Core。Core中已有waste_recycling_rate、hazardous_waste、non_hazardous_waste等废弃物维度指标，纸张可归入无害废弃物管理范畴，无需新增独立字段。,009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
港澳台地区,5,industry_schema_candidate,,,[],[],,,,0.95,港澳台地区员工人数属于地域来源维度的人力结构细分指标，非跨行业高频通用ESG指标；Core Schema中已覆盖gender、age、ethnicity等基础人口统计维度，但未纳入地域来源（如港澳台、外籍、本地）类指标，因其披露频次低、口径不一（单位含‘人’和‘%’）、且具有显著区域政策敏感性与行业差异性（如金融、ICT、跨境制造企业更关注，而多数制造业/能源企业不披露），更适合纳入特定行业ESG子体系（如粤港澳大湾区企业专项指引或跨境经营行业模板），不应进入通用Core。,010_002913_奥士康_2025_奥士康：社会责任报告
归母净利润,4,keep_unknown,,,[],[],,,,0.95,归母净利润是典型的财务绩效指标，反映公司盈利能力，不属于环境、社会或治理实质性议题范畴；Core ESG Schema 明确排除经营绩效/财务指标（如营业收入、净利润、资产总额等），且其 top_reasons 全部为 'business_performance_not_core_esg'，符合判断原则。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
吨,4,industry_schema_candidate,,,[],[],,,,0.95,所列指标（医疗废物产生总量、废弃物循环利用量、循环使用数据）均以'吨'为单位，但语义高度依赖行业场景：'医疗废物'属医疗卫生行业特有高危废弃物，'废弃物循环利用量'未限定物质类型且与现有recycled_water_volume（水专项）、waste_recycling_rate（比率型）均不重合，'循环使用数据'过于模糊缺乏ESG实体指向；三者均不具备跨行业通用性、定义一致性及Core级可比性，应归属医疗、制造或循环经济等细分行业ESG指标体系，而非通用Core。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
>50岁,4,add_alias_to_existing_core,employees_over_50,,"["">50岁"", "">50 岁""]","["">50岁"", "">50 岁""]",,,,0.98,'>50岁' 在多个ESG报告中明确用于统计50岁以上员工人数，单位为'人'，语义、数值类型、业务含义与 core 字段 employees_over_50 完全一致；其已出现在 employees_over_50 的 aliases 列表中（如 '50岁以上员工人数'、'50岁及以上'），'>50岁' 是该字段在表格标题和数据列中高频使用的简洁别名，符合 alias 扩展原则。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
员工满意度,4,keep_unknown,,,[],[],,,,0.95,员工满意度是主观性、方法论依赖性强的调研类指标（如问卷设计、抽样方式、量表、基准值等），在Core ESG Schema中所有S类指标均为客观可验证的量化数据（如人数、时长、比例、金额、事件数），不包含任何主观感知或态度类指标；其披露频次低（仅4家报告）、缺乏统一计量标准，且ESG国际主流框架（如GRI、SASB、ISSB）亦未将其列为通用核心指标，而多归入补充性社会议题或利益相关方参与章节，故属于公司特色管理实践指标，不适合纳入通用Core ESG Schema。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 003_002083_孚日股份_2025_孚日股份：社会责任报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告
特种作业人员持证上岗率,4,industry_schema_candidate,,,[],[],,,,0.95,特种作业人员持证上岗率是职业健康与安全生产领域的合规性管理指标，高度依赖行业监管要求（如矿山、建筑、化工、电力等高危行业强制持证），其定义、范围和统计口径存在显著行业差异；Core ESG Schema 中已有 work_injury_rate、work_related_fatalities、employee_health_record_coverage_rate 等 S 类安全健康指标，但该指标聚焦于特定岗位的法定资质合规，属于操作层监管要求，不具备跨行业通用可比性，更适合纳入行业 ESG 指标体系（如《矿业ESG指引》《建筑业ESG评价标准》），不应新增为通用 Core 指标。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告
公益慈善投入,4,new_core_candidate,,charitable_donations,[],[],公益慈善投入,S,number,0.88,"公益慈善投入是企业履行社会责任（S类）的典型、高频、可量化指标，跨行业普遍存在（如河钢资源、南京医药等多行业披露），与已有S类指标（如training_expense、environmental_investment）逻辑一致——均为社会维度的资源投入型定量指标；虽具一定自愿性，但已成为主流ESG报告框架（GRI 207、SASB HC-IF, RET-IF等）推荐披露项，且区别于经营财务指标（非营业收入/净利润），具备ESG相关性、可比性和实质性，适合作为Core ESG Schema新增基础字段。",002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 012_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告
节水量,4,new_core_candidate,,water_saving_volume,[],[],节水量,E,number,0.89,节水量是衡量水资源管理成效的关键绩效指标，反映企业节水措施的实际成果；虽非基础消耗/排放类物理量，但具备跨行业通用性（采矿、纺织、电力、金融等多行业披露），可量化、单位统一（万吨/万立方米），且与 water_consumption 形成互补关系（绝对用量 vs 相对节约量）；GRI、CDP及国内《环境信息依法披露制度改革方案》均鼓励披露节水量，符合Core ESG指标高频、可比、ESG相关性强的核心原则。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
净利润,4,keep_unknown,,,[],[],,,,0.95,净利润属于典型的经营绩效/财务指标，与ESG实质性议题无直接关联，Core ESG Schema明确排除营业收入、净利润、资产总额等财务类指标。所有示例均出现在‘经济绩效’或‘经营绩效’章节，且top_reasons全部为business_performance_not_core_esg，符合判断原则中‘经营绩效/财务指标一般keep_unknown’的要求。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告
职业病发生,4,new_core_candidate,,occupational_disease_cases,[],[],职业病发生数量,S,number,0.95,职业病发生数量是职业健康安全领域的核心量化指标，与工伤率、因工死亡人数、损失工作日等同属S类职业健康安全事件维度，具有高频披露（4家不同公司报告中出现）、跨行业适用性（制造业、能源、化工等高风险行业普遍关注）、强ESG相关性（直接反映企业职业健康管理成效），且现有Core Schema中无对应字段或别名覆盖，需作为新Core指标补全职业健康安全事件闭环。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
特殊作业人员持证上岗率,4,industry_schema_candidate,,,[],[],,,,0.89,特殊作业人员持证上岗率是安全生产合规性执行指标，高度依赖行业监管要求（如化工、建筑、制造、能源等高危行业强制持证），其定义、范围和监管口径存在显著行业差异；Core ESG Schema 中已覆盖员工安全结果类指标（如工伤率、因工死亡人数、健康档案覆盖率），但未纳入过程性资质管理类指标，且该指标不具备跨行业通用可比性——例如金融业、软件业基本无特殊作业人员；因此更适合纳入行业ESG指标体系，而非通用Core。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
员工中30岁以下占比,4,new_core_candidate,,employees_under_30_ratio,[],[],30岁以下员工比例,S,percentage,0.95,该指标语义明确（30岁以下员工占总员工的比例），单位为%，与现有female_employee_ratio、female_management_ratio等S类结构性比例指标逻辑一致；高频出现在ESG报告中（如大洋电机2024报告），具备跨行业通用性；当前Core Schema仅定义了employees_under_30（人数型），但缺失对应比例型字段，导致无法覆盖实际披露需求；补充该指标可完善员工年龄结构的完整性，符合ESG对人力资本多样性与代际结构的关注。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
员工中50岁以上占比,4,new_core_candidate,,employees_over_50_ratio,[],[],50岁以上员工比例,S,percentage,0.95,该指标语义明确为比例（单位%），与现有female_employee_ratio、female_management_ratio、employee_turnover_rate等S类比例指标结构一致；年龄结构是国际主流ESG框架（如GRI 207、SASB Human Capital）关注的劳动力多样性与可持续雇佣关键维度，具有跨行业通用性；当前Core Schema已定义employees_over_50（人数），但缺失其对应比例形式，补全该比例字段可完善年龄结构分析能力，且避免因单位/语义不匹配导致的映射失败。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
国内员工占比,4,industry_schema_candidate,,,[],[],,,,0.95,国内员工占比反映员工地域分布，属于劳动力本地化或全球化运营特征指标，非跨行业高频通用ESG指标；Core Schema中已覆盖性别、年龄、民族、管理层等人口统计维度，但未纳入国籍/地域维度，因其披露动因高度依赖企业国际化程度（如出海制造、跨境服务、海外工程类企业更关注），不具备普遍可比性与强制披露基础，更适合纳入特定行业（如对外承包工程、跨境电商、跨国制造）的行业ESG子 schema。,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告
