applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,S,0.9,体检及健康档案覆盖率 % 100 100 100,employee_medical_checkup_coverage,员工体检覆盖率,quantitative,manufacturing,route_a_selected,,page_45.png,100,0.9,heuristic_employee_medical_checkup_coverage_alias; schema_match_validated,extracted,,,,,,,,,,,,,,,,体检及健康档案覆盖率,page_45.png,route_a_appendix_table,extracted,关键绩效表-社会绩效,,%,100,percentage,2024
core,S,0.9,全年累计培训员工人次 人次 378 4464 1456,trained_employees_count,受训员工人数,quantitative,manufacturing,route_a_selected,,page_45.png,378,0.9,heuristic_trained_employees_count; alias_soft_warning:training_participants,extracted,,,,,,,,,,,,,,,,全年累计培训员工人次,page_45.png,route_a_appendix_table,extracted,关键绩效表-社会绩效,,人次,378,number,2024
core,S,0.0,,safety_accident_count,安全生产事故数量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.9,安全生产投入 万元 482.29 230.79 303.4,occupational_health_safety_investment,安全生产投入,quantitative,manufacturing,route_a_selected,,page_45.png,482.29,0.9,heuristic_ohs_investment; schema_match_validated,extracted,,,,,,,,,,,,,,,,安全生产投入,page_45.png,route_a_appendix_table,extracted,关键绩效表-社会绩效,,万元,482.29,number,2024
core,S,0.0,,safety_emergency_drill_count,安全应急演练次数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,lost_work_days_due_to_injury,因工伤损失工作日数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,r_and_d_personnel_count,研发人员数量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,r_and_d_expense,研发投入金额,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,public_welfare_investment,公益投入金额,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,board_size,董事会人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,independent_directors,独立董事人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,independent_director_ratio,独立董事比例,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,percentage,
core,G,0.0,,female_directors,女性董事人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,board_meetings,董事会会议次数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.95,"2024 年 公司召开股东大会3 次, 审议通过18 项议案",shareholder_meetings,股东大会会议次数,quantitative,manufacturing,route_b2_filled_missing_route_a,,,3 次,0.0,not_found,missing,0.95,"2024 年 公司召开股东大会3 次, 审议通过18 项议案",true,3 次,定位到目标字段同义词'股东大会'，提取到明确年份2024和原始数值3次，单位为次，符合目标单位，无禁止词干扰,[43],次,3,2024,,,,,,,股东大会会议次数,[43],route_b2_quant_text_rag,extracted,,quant_text_rag,次,3,number,2024
core,G,0.0,,anti_corruption_training_sessions,反腐败培训次数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,anti_corruption_training_participants,反腐败培训人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,G,0.0,,confirmed_corruption_cases,确认腐败案件数量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.9,我们建立并不断完善ESG 管理架构，覆盖董事会、管理层、本部职能部门和子公司，确保ESG 理念融入公司的业务策略。我们致力于成为黄金珠宝行业ESG 工作的先行者，积极探索符合黄金珠宝行业实际的信息披露规则。,esg_strategy_targets,ESG战略目标,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.9,我们建立并不断完善ESG 管理架构，覆盖董事会、管理层、本部职能部门和子公司，确保ESG 理念融入公司的业务策略。我们致力于成为黄金珠宝行业ESG 工作的先行者，积极探索符合黄金珠宝行业实际的信息披露规则。,true,文本明确提到'确保ESG理念融入公司的业务策略'和'积极探索符合黄金珠宝行业实际的信息披露规则'，符合ESG战略目标的定义，且为直接引用原文。,[12],公司将ESG理念融入业务策略，并致力于成为黄金珠宝行业ESG工作的先行者，探索符合行业实际的信息披露规则。,公司将ESG理念融入业务策略，并致力于成为黄金珠宝行业ESG工作的先行者，探索符合行业实际的信息披露规则。,[12],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,E,0.95,面对气候变化风险这一长期性、系统性挑战，我们主动分析识别气候变化风险，响应国家“双碳”政策，采取适应性和减缓性措施，以增强自身抵御气候变化的能力。,climate_risk_management,气候风险识别与管理,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,面对气候变化风险这一长期性、系统性挑战，我们主动分析识别气候变化风险，响应国家“双碳”政策，采取适应性和减缓性措施，以增强自身抵御气候变化的能力。,true,文本明确提及“主动分析识别气候变化风险”并采取“适应性和减缓性措施”，直接对应“气候风险识别与管理”指标，且使用了指标的同义词“气候变化风险”。,[18],公司主动分析识别气候变化风险，并采取适应性和减缓性措施以增强抵御能力。,公司主动分析识别气候变化风险，并采取适应性和减缓性措施以增强抵御能力。,[18],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,E,0.95,2024 年，三门峡金银制品公司进一步建设环境管理体系，优化环境管理流程，从制度层面强化环境管理，发布实施《中国黄金集团三门峡中原金银制品有限公司突发环境事件应急预案》，在环境管理方面迈出了坚实的一步。,environmental_management_system,环境管理体系,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,2024 年，三门峡金银制品公司进一步建设环境管理体系，优化环境管理流程，从制度层面强化环境管理，发布实施《中国黄金集团三门峡中原金银制品有限公司突发环境事件应急预案》，在环境管理方面迈出了坚实的一步。,true,候选文本明确提及'建设环境管理体系'并具体描述了通过发布应急预案来优化环境管理流程，符合'环境管理体系'的定性指标要求，且证据为完整原文句子。,[16],公司通过发布《中国黄金集团三门峡中原金银制品有限公司突发环境事件应急预案》并持续完善环境管理体系，强化环境管理流程。,公司通过发布《中国黄金集团三门峡中原金银制品有限公司突发环境事件应急预案》并持续完善环境管理体系，强化环境管理流程。,[16],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,E,0.95,我们在日常工作中从细节做起实现节能减排，改造办公楼，充分利用天然光并采用节能灯具照明，办公时空调温度不低于26 摄氏度并于下班时准时关闭以节约能源。我们持续优化各项管理及生产流程，以数字化转型推进节能减排，将生产运营和日常管理的多个环节迁移至线上平台，打造绿色低碳运营模式。我们大力倡导循环经济，打造了规范化、透明化的黄金回收流程体系，同时借助线上回购小程序，为客户提供安全、便捷、高效的回收服务。同时，我们提倡简约包装并提供可循环使用的包装物料，推广环保理念，减少碳排放。,energy_saving_measures,节能减排措施,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,我们在日常工作中从细节做起实现节能减排，改造办公楼，充分利用天然光并采用节能灯具照明，办公时空调温度不低于26 摄氏度并于下班时准时关闭以节约能源。我们持续优化各项管理及生产流程，以数字化转型推进节能减排，将生产运营和日常管理的多个环节迁移至线上平台，打造绿色低碳运营模式。我们大力倡导循环经济，打造了规范化、透明化的黄金回收流程体系，同时借助线上回购小程序，为客户提供安全、便捷、高效的回收服务。同时，我们提倡简约包装并提供可循环使用的包装物料，推广环保理念，减少碳排放。,true,候选文本中明确列出了多项具体的节能降碳措施，如节能灯具、空调温度控制、数字化转型、绿色包装、黄金回收闭环系统等，均属于‘节能措施’或‘减排措施’的直接表述，符合目标指标的定义和 aliases 范围。,[18],公司采取了包括改造办公楼、使用节能灯具、控制空调温度、数字化转型、推广绿色包装和黄金回收闭环系统等具体节能降碳措施。,公司采取了包括改造办公楼、使用节能灯具、控制空调温度、数字化转型、推广绿色包装和黄金回收闭环系统等具体节能降碳措施。,[18],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,E,0.95,"水资源管理
我们致力于打造节水型企业，积极保护水资源，严格管控生产及生活污水的排放。依据国家和地方的相关规定申领并延续排污许可证，确保污染物排放符合标准；同时，我们规范收集和处置化验室废液，委托具备相应资质的专业单位进行合法处理。在化验室废液的产生和贮存区域，我们采取了有效的防渗措施。此外，工业废水实现闭路循环，确保有害污水实现零排放。
中金精炼在生产中，配酸、清洗及酸雾净化塔补充新鲜水的过程会产生废水。其中，含酸工业废水用固废收集桶收集，委托外部专业机构处理；清洗废水经自建废水处理后回用于生产；酸雾净化塔的新鲜水定期补充并循环利用，无外排情况。日常生活污水经所在的工业区化粪池预处理，达到广东省地方标准《水污染物排放限值》（DB44/26-2001）中第二时段的三级标准后，由市政水管汇入布吉水质净化厂处理，不会对水环境产生不良影响。
三门峡金银制品公司将生活用水及其他用水排入中原冶炼厂，经处理后循环使用，不外排，并大力倡导水资源节约，建立雨水收集池，精细化管理水资源。",water_management_measures,水资源管理措施,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,"水资源管理
我们致力于打造节水型企业，积极保护水资源，严格管控生产及生活污水的排放。依据国家和地方的相关规定申领并延续排污许可证，确保污染物排放符合标准；同时，我们规范收集和处置化验室废液，委托具备相应资质的专业单位进行合法处理。在化验室废液的产生和贮存区域，我们采取了有效的防渗措施。此外，工业废水实现闭路循环，确保有害污水实现零排放。
中金精炼在生产中，配酸、清洗及酸雾净化塔补充新鲜水的过程会产生废水。其中，含酸工业废水用固废收集桶收集，委托外部专业机构处理；清洗废水经自建废水处理后回用于生产；酸雾净化塔的新鲜水定期补充并循环利用，无外排情况。日常生活污水经所在的工业区化粪池预处理，达到广东省地方标准《水污染物排放限值》（DB44/26-2001）中第二时段的三级标准后，由市政水管汇入布吉水质净化厂处理，不会对水环境产生不良影响。
三门峡金银制品公司将生活用水及其他用水排入中原冶炼厂，经处理后循环使用，不外排，并大力倡导水资源节约，建立雨水收集池，精细化管理水资源。",true,候选文本在page 19中明确描述了多项水资源管理措施，包括节水、污水循环利用、废液专业处理、雨水收集、排污许可和零排放等，完全符合目标指标的定义和 aliases。,[19],公司通过节水措施、污水闭路循环、雨水收集、废液专业处理和排污许可管理等机制实施水资源管理。,公司通过节水措施、污水闭路循环、雨水收集、废液专业处理和排污许可管理等机制实施水资源管理。,[19],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,E,0.95,我们积极做好废弃物的利用和处置工作，最大限度减少固体废物的排放对环境造成的影响，实现固体废物的减量化、资源化。我们制定了完善的危险废物管理制度，确保从产生、收集、储存、运输到最终处置的每一个环节都严格遵守国家相关法律法规和行业标准。我们与有资质的废物处理单位合作，采用先进的技术和方法，确保危险废物得到无害化处理和资源化利用，并接受政府监管机构和社会各界对危险废物处置结果的监督。,waste_management_measures,废弃物管理措施,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,我们积极做好废弃物的利用和处置工作，最大限度减少固体废物的排放对环境造成的影响，实现固体废物的减量化、资源化。我们制定了完善的危险废物管理制度，确保从产生、收集、储存、运输到最终处置的每一个环节都严格遵守国家相关法律法规和行业标准。我们与有资质的废物处理单位合作，采用先进的技术和方法，确保危险废物得到无害化处理和资源化利用，并接受政府监管机构和社会各界对危险废物处置结果的监督。,true,候选文本明确描述了针对一般固体废物和危险废物的管理机制、政策和具体措施，包括减量化、资源化、合规处置流程及合作单位要求，完全符合'废弃物管理措施'的定义。,[19],公司制定了固体废物和危险废物的管理措施，包括减量化、资源化、合规处置及与有资质单位合作处理。,公司制定了固体废物和危险废物的管理措施，包括减量化、资源化、合规处置及与有资质单位合作处理。,[19],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,S,0.9,关注女性员工合法权益，落实女性员工的产假、哺乳假政策，同时，开展丰富多彩的文娱活动，让员工在繁忙的工作之余，更加关注自己的精神文化生活，激发干事创业热情，增强干部职工队伍凝聚力、向心力，营造团结友爱、锐意进取的工作氛围，力求成为员工幸福工作生活的坚实后盾。,employee_rights_policy,员工权益保障政策,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.9,关注女性员工合法权益，落实女性员工的产假、哺乳假政策，同时，开展丰富多彩的文娱活动，让员工在繁忙的工作之余，更加关注自己的精神文化生活，激发干事创业热情，增强干部职工队伍凝聚力、向心力，营造团结友爱、锐意进取的工作氛围，力求成为员工幸福工作生活的坚实后盾。,true,文本明确提及‘落实女性员工的产假、哺乳假政策’，属于员工权益保障的核心内容，且与‘员工权益保障’‘员工关怀’等同义词直接对应，符合定性指标抽取规则。,[24],公司明确落实员工权益保障措施，包括女性员工产假、哺乳假政策，以及关爱员工生活与工作环境的多项举措。,公司明确落实员工权益保障措施，包括女性员工产假、哺乳假政策，以及关爱员工生活与工作环境的多项举措。,[24],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,S,0.95,公司职业健康安全管理体系认证证书,occupational_health_safety_system,职业健康安全管理体系,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,公司职业健康安全管理体系认证证书,true,候选文本中明确出现'公司职业健康安全管理体系认证证书'，直接对应目标指标的别名'职业健康安全管理体系'，且为报告中独立呈现的证据项，符合明确提及的抽取规则。,[25],公司明确提及建立职业健康安全管理体系，并获得相关认证。,公司明确提及建立职业健康安全管理体系，并获得相关认证。,[25],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,S,0.95,"我们不断完善公司培训体系，持续提升员工对公司规章制度、岗位职责的了解与认识，强化其对工作要领的掌握和应用能力，提升其知识水平、履职能力、工作绩效，并加深他们对公司企业文化的认知和感悟，培养他们的责任意识和担当精神，增强企业认同感和归属感。

组织实施“三金”人才培养计划，纳入集团公司人才库：
“金蕾计划”      12 人
“金石计划”      11 人
“金英计划”      37 人
2024 年，党员培训支出共计20.89 万元，组织党员参加培训累计28 次，共计培训918 人次，
党员每年参加集中学习均不少于32 学时，党组织书记均不少于56 学时；组织入党积极分子、发展对象参加线上培训1 次，平均接受培训时长25.5 小时，共计41 人参加。",employee_training_development,员工培训与发展机制,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,"我们不断完善公司培训体系，持续提升员工对公司规章制度、岗位职责的了解与认识，强化其对工作要领的掌握和应用能力，提升其知识水平、履职能力、工作绩效，并加深他们对公司企业文化的认知和感悟，培养他们的责任意识和担当精神，增强企业认同感和归属感。

组织实施“三金”人才培养计划，纳入集团公司人才库：
“金蕾计划”      12 人
“金石计划”      11 人
“金英计划”      37 人
2024 年，党员培训支出共计20.89 万元，组织党员参加培训累计28 次，共计培训918 人次，
党员每年参加集中学习均不少于32 学时，党组织书记均不少于56 学时；组织入党积极分子、发展对象参加线上培训1 次，平均接受培训时长25.5 小时，共计41 人参加。",true,候选文本明确提及'不断完善公司培训体系'，并详细描述了培训目标、内容及具体实施数据，同时包含'三金'人才培养计划和党员培训的量化信息，完全符合员工培训与发展机制的定义。,[23],公司不断完善培训体系，提升员工知识水平、履职能力和工作绩效，并开展专项人才培养计划与党员培训。,公司不断完善培训体系，提升员工知识水平、履职能力和工作绩效，并开展专项人才培养计划与党员培训。,[23],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,S,0.95,我们招聘坚持公开招聘、平等竞争、择优录取的原则。根据《招聘管理制度》相关程序，制定人才招聘政策，建立标准化、系统化的员工招聘流程，使招聘工作更准确迅速，从而在人才招聘方面及时满足公司业务需要。同时，我们遵守国内国际反就业歧视相关法律法规，无论是在外部招聘，还是在公司内部人员调配中，都公平对待每一位应聘人员，不以应聘人员的性别、年龄、国籍、民族、宗教信仰、肤色、语言、户籍所在地等作为对应聘人员的录用依据。,diversity_equal_opportunity,多元化与平等雇佣政策,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,我们招聘坚持公开招聘、平等竞争、择优录取的原则。根据《招聘管理制度》相关程序，制定人才招聘政策，建立标准化、系统化的员工招聘流程，使招聘工作更准确迅速，从而在人才招聘方面及时满足公司业务需要。同时，我们遵守国内国际反就业歧视相关法律法规，无论是在外部招聘，还是在公司内部人员调配中，都公平对待每一位应聘人员，不以应聘人员的性别、年龄、国籍、民族、宗教信仰、肤色、语言、户籍所在地等作为对应聘人员的录用依据。,true,候选文本明确提及了平等雇佣、反就业歧视以及不以多种受保护特征作为录用依据，完全覆盖了'多元化与平等雇佣政策'的定义和其别名。,[22],公司坚持公开招聘、平等竞争、择优录取原则，遵守反就业歧视法律法规，不以性别、年龄、国籍、民族、宗教信仰等作为录用依据。,公司坚持公开招聘、平等竞争、择优录取原则，遵守反就业歧视法律法规，不以性别、年龄、国籍、民族、宗教信仰等作为录用依据。,[22],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
core,S,0.0,,supplier_esg_assessment,供应商ESG管理机制,qualitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,boolean_or_text,
optional,S,0.95,我们高度重视客户信息保护工作，遵守《消费者权益保护法》《个人信息保护法》，明确客户信息安全细则，并指定专人保护客户个人信息。在信息搜集、查阅和使用等各个环节上加强管理，始终保证在未征得客户个人同意的情况下，绝不向第三方泄露客户信息，并采取合理的方式维护网络安全，不断强化客户个人信息保护力度，维护客户信息安全，让消费者放心消费。,data_security_privacy,数据安全与隐私保护机制,qualitative,manufacturing,route_b_filled_missing_route_a,,,True,0.0,not_found,missing,,,,,,,,,,0.95,我们高度重视客户信息保护工作，遵守《消费者权益保护法》《个人信息保护法》，明确客户信息安全细则，并指定专人保护客户个人信息。在信息搜集、查阅和使用等各个环节上加强管理，始终保证在未征得客户个人同意的情况下，绝不向第三方泄露客户信息，并采取合理的方式维护网络安全，不断强化客户个人信息保护力度，维护客户信息安全，让消费者放心消费。,true,候选文本中明确提及客户信息保护、遵守《个人信息保护法》、指定专人管理、禁止未经同意泄露信息、维护网络安全等具体措施，完全符合数据安全与隐私保护机制的定义。,[30],公司明确制定客户信息保护机制，遵守相关法律法规，并采取措施保护客户个人信息和网络安全。,公司明确制定客户信息保护机制，遵守相关法律法规，并采取措施保护客户个人信息和网络安全。,[30],route_b_text_rag,extracted,,正文定性机制,,True,boolean_or_text,
