field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
board_size,董事会人数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
independent_directors,独立董事人数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
independent_director_ratio,独立董事比例,G,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
female_directors,女性董事人数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
board_meetings,董事会会议次数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
shareholder_meetings,股东大会会议次数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
anti_corruption_training_participants,反腐败培训参与人数或人次,G,quantitative,number,extracted,825,825,人,2024,route_a_appendix_table,0.92,参加反商业贿赂及反贪污培训的员工人数 人 2024年 825,page_49.png,参加反商业贿赂及反贪污培训的员工人数,,治理绩效,page_49.png,extracted,0.92,heuristic_anti_corruption_training_participants; schema_match_validated,,,,,,
anti_corruption_training_hours,反腐败培训总时长,G,quantitative,number,extracted,44.5,44.50,小时,2024,route_a_appendix_table,0.94,提供的反商业贿赂及反贪污培训总时长 小时 2024年 44.50,page_49.png,提供的反商业贿赂及反贪污培训总时长,,治理绩效,page_49.png,extracted,0.94,heuristic_anti_corruption_training_hours; schema_match_validated,,,,,,
confirmed_corruption_cases,确认的腐败事件数量,G,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
whistleblowing_cases,举报案件数量,G,quantitative,number,extracted,0,0,次,2024,route_a_appendix_table,0.9,反贪污反腐举报事件总数 次 2024年 0,page_49.png,反贪污反腐举报事件总数,,治理绩效,page_49.png,extracted,0.9,heuristic_whistleblowing_cases; schema_match_validated,,,,,,
patent_applications_new,当年申请专利数量,S,quantitative,number,extracted,48,48,项,2024,route_a_appendix_table,0.93,专利申请数 项 2024年 48,page_51.png,专利申请数,,按性别划分,page_51.png,extracted,0.93,alias_match:专利申请数; schema_match_validated,,,,,,
board_esg_oversight,董事会 ESG 监督机制,G,qualitative,boolean_or_text,extracted,True,True,,,route_b_text_rag,0.95,公司董事会作为ESG治理的最高决策机构，负责拟定公司在ESG方面的战略规划和制度政策，确保有关政策能有效实施。,[9],董事会作为ESG治理的最高决策机构，负责ESG战略规划、制度政策拟定及实施监督。,正文定性机制,,,missing,0.0,not_found,true,0.95,董事会作为ESG治理的最高决策机构，负责ESG战略规划、制度政策拟定及实施监督。,公司董事会作为ESG治理的最高决策机构，负责拟定公司在ESG方面的战略规划和制度政策，确保有关政策能有效实施。,[9],正文明确披露了董事会在ESG治理中的职责和机制。
esg_committee,ESG 委员会或可持续发展委员会,G,qualitative,boolean_or_text,extracted,True,True,,,route_b_text_rag,0.86,各相关职能部门、子公司管理人员组成ESG报告工作小组，负责公司年度ESG报告编制、信息收集、审验等工作。,[9],公司成立了ESG报告工作小组，负责年度ESG报告编制及相关工作。,正文定性机制,,,missing,0.0,not_found,true,0.86,公司成立了ESG报告工作小组，负责年度ESG报告编制及相关工作。,各相关职能部门、子公司管理人员组成ESG报告工作小组，负责公司年度ESG报告编制、信息收集、审验等工作。,[9],正文明确披露了该机制。
anti_corruption_policy,反腐败政策,G,qualitative,boolean_or_text,extracted,True,True,,,route_b_text_rag,0.86,公司修订了《廉洁从业管理规定》《内部监察管理制度》等纪检监察制度，持续推进廉洁建设。,[17],公司建立了反腐败或举报相关制度。,正文定性机制,,,missing,0.0,not_found,true,0.86,公司建立了反腐败或举报相关制度。,公司修订了《廉洁从业管理规定》《内部监察管理制度》等纪检监察制度，持续推进廉洁建设。,[17],正文明确披露了该机制。
whistleblowing_mechanism,举报机制,G,qualitative,boolean_or_text,extracted,True,True,,,route_b_text_rag,0.86,纪检监察部负责投诉举报的受理和调查，提供举报网站、信箱、电话等多种渠道。,[18],公司建立了反腐败或举报相关制度。,正文定性机制,,,missing,0.0,not_found,true,0.86,公司建立了反腐败或举报相关制度。,纪检监察部负责投诉举报的受理和调查，提供举报网站、信箱、电话等多种渠道。,[18],正文明确披露了该机制。
supplier_esg_assessment,供应商 ESG 评估机制,S,qualitative,boolean_or_text,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
